run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.s,70 byte,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.nDL,16,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.nA,1,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.trasmitting,false,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,datetime,20210226-11:29:18,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,iterationvars,"$0=20, $1=20",
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,iterationvarsf,"20,20-",
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,measurement,"$0=20, $1=20",
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,network,Aerocom,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,processid,11960,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,repetition,11,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,replication,#11,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,resultdir,results,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,runnumber,2911,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,seedset,11,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.t,2s,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.k,20ms,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.X,0.05s,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.m,20s,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.operationMode,0,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.s,70 byte,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.nDL,16,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.nA,1,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2911-20210226-11:29:18-11960,param,,,**.trasmitting,false,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,datetime,20210226-11:29:14,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,iterationvars,"$0=20, $1=20",
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,iterationvarsf,"20,20-",
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,measurement,"$0=20, $1=20",
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,network,Aerocom,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,processid,11970,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,repetition,13,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,replication,#13,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,resultdir,results,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,runnumber,2913,
Lognormal-capacity-2913-20210226-11:29:14-11970,runattr,,,seedset,13,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.t,2s,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.k,20ms,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.X,0.05s,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.m,20s,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.operationMode,0,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.s,70 byte,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.nDL,16,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.nA,1,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2913-20210226-11:29:14-11970,param,,,**.trasmitting,false,
Lognormal-capacity-2912-20210226-11:29:13-11970,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2912-20210226-11:29:13-11970,runattr,,,datetime,20210226-11:29:13,
Lognormal-capacity-2912-20210226-11:29:13-11970,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2912-20210226-11:29:13-11970,runattr,,,inifile,../simulations/aerocom.ini,
